id,name,lead_type,latitude,longitude,phone,website,address
12462786816,2ГИС,company,47.095217,51.9246242,+7 771 929 0107;+7 966 5000050,https://dev.2gis.kz,
936944781,3GI,industrial,46.0574815,53.3696045,,N/A,
11158308944,3GI \ ЗСГТП,works,46.0566142,53.3703247,,N/A,
670170686,3GP,industrial,46.1302005,53.3692619,,N/A,
936143963,3GP TCT,yes,46.1376097,53.3694658,,N/A,
1782994668,ACTIV ЦЕНТР,telecommunication,47.0973405,51.8739858,,N/A,
10687766429,ALMA TV,telecommunication,46.9557109,53.9867467,+7 700 300 0501;+7 701 300 0501;+7 702 300 0501;+7 7122 98 02 02;+7 727 300 0501;+7 771 300 0502,https://www.almatv.kz/,
129736789,ATYRAU PLAZA,yes,47.1054243,51.8939069,,N/A,улица Сатпаева
13406021389,AVENCOM LLP,company,47.1332896,51.9184961,+7 7112 986500,https://avencom.com,Сабырғали Зорбаев көшесі
124992081,BAKYT,yes,47.1056443,51.9282525,,N/A,
721746176,BAYTEREK PLAZA,yes,47.1020827,51.9136349,,N/A,Студенттер даңғылы
935165758,BONATTI,industrial,46.358801,53.448852,,N/A,
1161399745,CASPIAN ROYAL FISH,industrial,47.1688905,51.9472735,,N/A,
674035113,CENTRAL FIELD MANIFOLD (CFM),industrial,46.1051559,53.3949482,,N/A,
124998781,DARGO,yes,47.1259644,51.9298151,,N/A,Мұса Баймұханов көшесі
977577872,DENHOLM BASE DENHOLM,industrial,47.2651427,52.2488273,,N/A,
935375586,DENHOLM ZHOLDAS,industrial,46.3222285,53.4463089,,N/A,
639279371,ELAMAN,yes,47.1177558,51.9044483,,N/A,Сұлтан Бейбарыс даңғылы
10770446475,FREEDOM BROKER,financial_advisor,47.1041983,51.9144666,+7 727 355 7555;7555,https://ffin.kz,
11830548881,ILAR,logistics,47.0954197,51.9037244,+7 776 907 8888,https://ilar.kz,
4524888917,ITC АСТАНА,company,47.1048842,51.8904017,"+7 (7122) 20-19-20, +7 (7122) 20-19-21",N/A,
124998836,JUMIYAN,yes,47.1257854,51.9279308,,N/A,Мұса Баймұханов көшесі
4231825690,KCELL,telecommunication,47.0973844,51.8740913,+7 701 000 3030;+7 701 001 3030;+7 7272 58 80 00,https://www.kcell.kz,
12880927834,KIT,logistics,47.0895122,51.9216791,+7 700 358 1640;+7 800 2345960,https://tk-kit.com,
4540984793,KÄRCHER STORE ATYRAU,company,47.0811828,51.896866,+7 7122 45 62 34;+7 771 775 5693,https://karchershop.kz,
674035117,MAIN MANIFOLD (MM),industrial,46.1131778,53.4040921,,N/A,
280176104,METERING STATION,industrial,46.0650512,53.4710468,,N/A,
670220606,METERING STATION 19,industrial,46.0591058,53.4129911,,N/A,
937916291,METERING STATION 21,industrial,46.119373,53.4349947,,N/A,
669575308,METERING STATION 31,industrial,46.1057994,53.3419432,,N/A,
670163765,METERING STATION 33,industrial,46.0603031,53.3140804,,N/A,
280176508,METERING STATION 35,industrial,46.0188167,53.3922073,,N/A,
937916258,METERING STATION 54,industrial,46.0301088,53.3526352,,N/A,
937916276,MLVS-34,industrial,46.0394158,53.3478953,,N/A,
674035092,MS-17,industrial,46.0999171,53.3458533,,N/A,
1203849580,MS-55,industrial,46.0042215,53.412374,,N/A,
